寄存器地址	寄存器名称	备注	cfg_data占用位宽 [31:0]
0x00	ap_start	开始新一层配置	[0]
0x10	cfg_f_base_addr	输入特征图基地址	[31:0]
0x14	cfg_wt_base_addr	权重基地址	[31:0]
0x18	cfg_b_base_addr	偏置基地址	[31:0]
0x1C	cfg_wdma_base_addr	输出特征向量基地址	[31:0]
0x20	"{cfg_f_width, cfg_f_height}"	"CDMA输入特征向量宽,高"	[31:0]
0x24	"{cfg_csc_w_in, cfg_csc_h_in}"	"CSC输入特征向量宽,高"	[31:0]
0x28	"{cfg_csc_w_out, cfg_h_out}"	CSC输出特征向量宽高	[31:0]
0X2C	"{cfg_f_ch_groups, cfg_b_out_channels}"	"CDMA输入通道组(x8), B_CDMA输出通道总数"	[31:0]
0x30	"{cfg_csc_pad_up, cfg_csc_pad_left, cfg_csc_ky, cfg_csc_kx}"	"垂直,水平填充;卷积核大小.均4bit"	[15:0]
0x34	"{cfg_csc_stride_y, cfg_csc_stride_x"	"步长;W_CDMA最后一组卷积核个数(X16),"	is_odd_oc占一个bit
	", cfg_wt_active_banks, cfg_wt_is_odd_oc}"	以及是否为奇数个数	其余占4bit
0x38	"{cfg_csc_w_out_blocks, cfg_wt_coords_per_region}"	输出条带块个数(x8);bank存储一个卷积核地址	[31:0]
0x3C	"{cfg_buf_max_ch_groups, cfg_buf_max_col_blocks}"	F_CBUF输入通道组(x8);输入条带块个数(x8)	[31:0]
0x3E	cfg_buf_min_calc_rows	"cbuf计算所需要的最少存储行,等于Ky"	[3:0]
0x40	cfg_wt_total_beats	权重需要搬运的总beat数	[27:0]
0x48	"{cfg_cacc_relu_en, cfg_cacc_b_total_beats}"	是否激活;cacc中权重预读取模块总beat	[16][15:0]
0x4C	"{cfg_csc_co_groups, cfg_csc_ci_groups}"	CSC输出通道组数(x16);CSC输入通道组数(x8)	[31:0]
0x50	"{cfg_wt_total_co_groups,cfg_out_ch_grps}"	权重组数(x16);输出通道组数(x8)	[31:0]
